block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_65272,12926,0,TO ROCK ROAD STA,88265,1_merged_2075095,2066643
b_62121,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065118
b_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065119
b_65151,12918,0,TO MACKLIND & ARSENAL,88230,1_merged_2075095,2065448
b_65142,12918,0,TO MACKLIND & ARSENAL,88230,1_merged_2075095,2065449
b_62482,12946,1,TO BRENTWOOD STA,88368,2_merged_2075097,2069162
b_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065112
b_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065113
b_65151,12917,1,TO W FLORISSANT,88229,3_merged_2075096,2065446
b_65141,12918,0,TO MACKLIND & ARSENAL,88230,1_merged_2075095,2065447
b_65142,12917,1,TO W FLORISSANT,88229,3_merged_2075096,2065440
b_65141,12917,1,TO W FLORISSANT,88229,3_merged_2075096,2065441
b_65151,12917,1,TO W FLORISSANT,88229,3_merged_2075096,2065442
b_65142,12917,1,TO W FLORISSANT,88229,3_merged_2075096,2065443
b_62121,12916,0,TO 14TH & SPRUCE,88225,1_merged_2075095,2065039
b_62411,12935,0,TO MET LIFE,88307,1_merged_2075095,2067762
b_62482,12946,0,TO STLCC MERAMEC,88367,2_merged_2075097,2069160
b_69142,12961,0,19TH & CENTRAL,88433,3_merged_2075096,2072331
b_65561,12943,0,TO RIVERVIEW TC,88352,3_merged_2075096,2068913
b_62413,12935,0,TO MET LIFE,88307,1_merged_2075095,2067766
b_65271,12926,1,TO AMELING & MCKELVEY VIA WESTPORT PLZ,88267,1_merged_2075095,2066647
b_65562,12943,0,TO RIVERVIEW TC,88352,3_merged_2075096,2068912
b_6554,12913,0,TO 14TH & SPRUCE,88213,1_merged_2075095,2064522
b_62481,12946,1,TO BRENTWOOD STA,88368,2_merged_2075097,2069166
a_65311,12805,0,TO RIVERVIEW TC,87650,2_merged_2075094,2042719
a_65313,12805,0,TO RIVERVIEW TC,87650,2_merged_2075094,2042718
b_62482,12946,1,TO BRENTWOOD STA,88368,2_merged_2075097,2069165
a_65313,12805,0,TO RIVERVIEW TC,87647,2_merged_2075094,2042713
a_65315,12805,0,TO RIVERVIEW TC,87647,2_merged_2075094,2042712
a_65314,12805,0,TO RIVERVIEW TC,87647,2_merged_2075094,2042711
a_65311,12805,0,TO RIVERVIEW TC,87650,2_merged_2075094,2042710
a_65312,12805,0,TO RIVERVIEW TC,87650,2_merged_2075094,2042717
a_65314,12805,0,TO RIVERVIEW TC,87650,2_merged_2075094,2042716
a_65313,12805,0,TO RIVERVIEW TC,87650,2_merged_2075094,2042715
a_65314,12805,0,TO RIVERVIEW TC,87647,2_merged_2075094,2042714
a_69193,12839,0,ALTA SITA,87810,3_merged_2075093,2048423
a_69191,12839,0,ALTA SITA,87810,3_merged_2075093,2048422
a_69192,12839,0,ALTA SITA,87809,3_merged_2075093,2048421
a_69191,12839,0,ALTA SITA,87810,3_merged_2075093,2048420
a_69191,12839,0,ALTA SITA,87809,3_merged_2075093,2048427
a_69191,12839,0,ALTA SITA,87810,3_merged_2075093,2048426
a_69193,12839,0,ALTA SITA,87810,3_merged_2075093,2048425
a_69191,12839,0,ALTA SITA,87810,3_merged_2075093,2048424
b_62493,12940,0,TO MAPLEWOOD STA,88333,1_merged_2075095,2068326
b_65583,12926,1,TO AMELING & MCKELVEY,88266,1_merged_2075095,2066646
a_69195,12839,0,ALTA SITA,87810,3_merged_2075093,2048429
a_69196,12839,0,ALTA SITA,87810,3_merged_2075093,2048428
b_62122,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065110
a_69444,12845,0,ST CLAIR SQ - TO COLLINSVILLE TRANSIT CTR,87837,1_merged_2075092,2048972
b_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065111
b_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065116
b_65621,12947,0,TO LOUGHBOROUGH COMMONS,88369,2_merged_2075097,2069385
b_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065117
b_69141,12961,0,19TH & CENTRAL,88433,3_merged_2075096,2072337
b_62657,12948,1,TO CIVIC CENTER,88372,2_merged_2075097,2069737
b_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065114
b_69196,12963,0,ALTA SITA,88441,3_merged_2075096,2072728
b_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2075097,2065115
a_62711,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040412
a_6272,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040413
a_6271,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040410
a_62712,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040411
a_62711,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040416
a_6271,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040417
a_6271,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040414
a_62712,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040415
b_65296,12928,0,TO ROCK ROAD STA,88272,1_merged_2075095,2066799
b_67110,12973R,0,TO SHILOH SCOTT,88485,1_merged_2075095,2073631
a_62712,12790,0,TO CATALAN LOOP,87587,2_merged_2075094,2040418
a_62711,12790,1,TO CIVIC CENTER,87589,2_merged_2075094,2040419
b_67117,12973B,0,TO FAIRVIEW HEIGHTS,88478,1_merged_2075095,2073634
b_67120,12973B,0,TO FAIRVIEW HEIGHTS,88478,1_merged_2075095,2073635
b_67115,12973B,0,TO EMERSON PARK,88476,1_merged_2075095,2073636
b_67116,12973B,0,TO FAIRVIEW HEIGHTS,88478,1_merged_2075095,2073637
b_69326,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2075095,2074943
b_69621,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2075095,2074942
b_69622,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2075095,2074941
b_69326,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2075095,2074940
a_62841,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047299
a_62842,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047298
b_69623,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2075095,2074945
b_69621,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2075095,2074944
a_62841,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047295
a_62842,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047294
a_62841,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047297
a_62842,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047296
a_62841,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047291
a_62842,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047290
a_62841,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047293
a_62842,12834,1,DOWNTOWN TROLLEY,87791,2_merged_2075094,2047292
b_62112,12915,1,TO HAMPTON LOOP,88224,1_merged_2075095,2064873
a_651,12786,1,TO FORSYTH STA,87570,2_merged_2075094,2039678
a_653,12786,1,TO FORSYTH STA,87570,2_merged_2075094,2039679
b_6553,12913,1,TO HANLEY STA,88216,1_merged_2075095,2064578
a_65762,12830,0,TO CIVIC CTR VIA PROGRESS PKY,87771,3_merged_2075093,2046472
a_652,12786,0,TO CWE STA,87566,2_merged_2075094,2039673
a_652,12786,0,TO CWE STA,87566,2_merged_2075094,2039670
a_65764,12830,1,TO LACKLAND & ALTOM VIA JCC,87778,2_merged_2075094,2046471
a_65761,12830,0,TO CIVIC CTR VIA PROGRESS PKY,87771,3_merged_2075093,2046476
a_651,12786,0,TO CWE STA,87566,2_merged_2075094,2039677
a_651,12786,0,TO CWE STA,87566,2_merged_2075094,2039674
a_653,12786,0,TO CWE STA,87566,2_merged_2075094,2039675
b_6521,12911,0,TO MAPLEWOOD STA,88203,3_merged_2075096,2064249
b_6523,12911,0,TO MAPLEWOOD STA,88203,3_merged_2075096,2064248
a_65581,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042368
a_65271,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042369
b_69421,12968,0,BELLEVILLE SHILOH SCOTT - TO SHILOH SCOTT STA,88464,1_merged_2075095,2073262
b_62519,12941,1,TO CLAYTON STA,88341,3_merged_2075096,2068570
a_65272,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042362
a_65581,12802,0,TO ROCK ROAD STA,87634,2_merged_2075094,2042363
a_65272,12802,0,TO ROCK ROAD STA,87634,2_merged_2075094,2042360
a_65271,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042361
a_65271,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042366
a_65583,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042367
a_65271,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042364
a_65271,12802,0,TO ROCK ROAD STA VIA WESTPORT PLZ,87633,2_merged_2075094,2042365
b_65626,12947,1,TO N BROADWAY TC,88370,1_merged_2075095,2069309
b_65619,12947,1,TO N BROADWAY TC,88370,1_merged_2075095,2069308
b_65626,12947,1,TO N BROADWAY TC,88370,1_merged_2075095,2069303
b_65298,12928,0,TO ROCK ROAD STA,88270,2_merged_2075097,2066862
b_65622,12947,1,TO N BROADWAY TC,88370,1_merged_2075095,2069301
b_65621,12947,1,TO N BROADWAY TC,88370,1_merged_2075095,2069300
b_65298,12928,0,TO ROCK ROAD STA,88272,2_merged_2075097,2066867
b_65296,12928,0,TO ROCK ROAD STA,88272,2_merged_2075097,2066866
b_65293,12928,0,TO ROCK ROAD STA,88272,2_merged_2075097,2066865
b_65625,12947,1,TO N BROADWAY TC,88370,1_merged_2075095,2069304
b_69161,12962,0,ROSEMONT - FAIRMONT CITY,88436,1_merged_2075095,2072385
b_65803,12956,1,TO CLAYTON STA,88416,1_merged_2075095,2071152
b_65801,12956,1,TO CLAYTON STA,88416,1_merged_2075095,2071151
b_67114,12973R,1,TO LAMBERT AIRPORT TERMINAL #1,88493,1_merged_2075095,2073697
b_69191,12963,1,ALTA SITA TO EMERSON PARK VIA CHURCH,88443,3_merged_2075096,2072757
b_62327,12977,0,I-55 EXPRESS,88500,1_merged_2075095,2074525
b_62524,12984,1,TO CHESTERFIELD CITY HALL ONLY,88523,1_merged_2075095,2074806
b_69162,12962,1,ROSEMONT - TO 49TH & STATE,88439,2_merged_2075097,2072494
b_69421,12970,0,CARLYLE PLZ 17TH ST - VIA CARLYLE PLZ,88471,2_merged_2075097,2073431
b_69162,12962,1,ROSEMONT - TO 49TH & STATE,88439,2_merged_2075097,2072492
a_69141,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047871
a_69141,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047870
a_69142,12837,0,19TH & CENTRAL - TO 13TH & BOND,87801,1_merged_2075092,2047873
a_69141,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047872
a_69142,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047875
a_69142,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047874
a_69142,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047877
a_69142,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047876
a_69142,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047879
a_69141,12837,0,19TH & CENTRAL,87802,1_merged_2075092,2047878
b_62523,12984,1,TO CHESTERFIELD VALLEY,88524,1_merged_2075095,2074807
b_65271,12944,1,VIA HALLS FERRY,88361,1_merged_2075095,2069001
b_65786,12955,0,TO HAMPTON LOOP,88410,1_merged_2075095,2070873
b_65272,12944,1,VIA HORD AVE,88362,2_merged_2075097,2069056
a_65372,12808,0,TO CWE STA,87660,2_merged_2075094,2043141
a_65371,12808,0,TO CWE STA,87660,2_merged_2075094,2043140
a_65371,12808,0,TO CWE STA,87660,2_merged_2075094,2043143
a_65373,12808,0,TO CWE STA,87660,2_merged_2075094,2043142
a_65373,12808,0,TO CWE STA,87660,2_merged_2075094,2043145
a_65192,12808,0,TO CWE STA,87660,2_merged_2075094,2043144
a_65192,12808,0,TO CWE STA,87660,2_merged_2075094,2043147
a_65371,12808,0,TO CWE STA,87660,2_merged_2075094,2043146
a_65192,12808,1,TO N BROADWAY TC,87662,2_merged_2075094,2043149
a_65373,12808,0,TO CWE STA,87660,2_merged_2075094,2043148
b_65371,12932,1,TO N BROADWAY TC,88293,3_merged_2075096,2067539
a_69622,12866,0,SCOTT AFB EAST BASE SHUTTLE,87906,1_merged_2075092,2050629
b_62517,12984,0,TO CLAYTON STA VIA BALLAS TC,88522,1_merged_2075095,2074804
a_65142,12794,0,TO MACKLIND & ARSENAL,87599,1_merged_2075092,2041129
a_65151,12794,0,TO MACKLIND & ARSENAL,87599,1_merged_2075092,2041128
a_65162,12795,0,TO SHREWSBURY STA,87605,3_merged_2075093,2041439
a_65163,12795,0,TO SHREWSBURY STA,87605,3_merged_2075093,2041438
b_65802,12956,1,TO CLAYTON STA,88416,3_merged_2075096,2071254
a_65161,12795,0,TO SHREWSBURY STA,87605,3_merged_2075093,2041433
a_65142,12793,1,TO W FLORISSANT,87598,3_merged_2075093,2041120
a_65165,12795,0,TO SHREWSBURY STA,87605,3_merged_2075093,2041431
a_65166,12795,0,TO SHREWSBURY STA,87605,3_merged_2075093,2041430
